                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0893,                 4.8072,                 2.2251,                0.00148,                0.52222,                0.06965,                0.04609,                 1.5195,                 5.0337,                 1.9676,                0.00016,                0.00016,                0.00016
                      2,                 1.4128,                 4.0932,                 1.6709,                  0.005,                      1,                0.32601,                0.21765,                0.99315,                 4.2601,                 1.2171,             0.00032673,             0.00032673,             0.00032673
                      3,                 1.3216,                 3.6669,                 1.5502,                0.00628,                      1,                0.43375,                0.27812,                0.99827,                 4.1074,                 1.2036,              0.0004901,              0.0004901,              0.0004901
                      4,                 1.1617,                 3.4814,                 1.3972,                0.00439,                      1,                0.41499,                0.27669,                 1.0308,                 3.7924,                 1.1963,              0.0006501,              0.0006501,              0.0006501
                      5,                 1.2036,                 3.0332,                 1.4492,                0.52122,                0.38259,                0.41961,                0.30401,                 1.1049,                  3.505,                 1.2299,             0.00080674,             0.00080674,             0.00080674
                      6,                 1.2189,                 2.9893,                  1.459,                0.81953,                0.09524,                0.52617,                0.37897,                  1.315,                 3.8807,                 1.4191,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.3808,                 2.9075,                 1.5643,                0.44918,                0.56375,                0.60512,                0.38992,                 1.1996,                  3.496,                 1.2989,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.2502,                 3.1609,                 1.5584,                0.50618,                0.63559,                 0.6687,                0.47561,                  1.233,                 3.1972,                 1.3117,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.1515,                 2.5242,                 1.3521,                0.59418,                0.84974,                0.77585,                0.54652,                 1.1779,                 2.9434,                 1.2646,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.0683,                 2.2728,                  1.322,                0.51579,                0.91116,                0.90592,                0.67262,                 1.0779,                 2.8254,                 1.2616,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.1147,                 2.4412,                 1.3993,                0.66314,                0.82363,                0.92214,                0.68175,                 1.0407,                   2.74,                 1.2472,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.0633,                 2.3683,                 1.3384,                0.74934,                0.76574,                0.78888,                0.59503,                 1.0423,                 2.8954,                 1.3264,               0.000901,               0.000901,               0.000901
                     13,                 1.1978,                 2.5415,                 1.4243,                0.71494,                0.83102,                0.92173,                 0.6211,                 1.1452,                 3.1299,                 1.4039,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.1732,                 2.6717,                 1.3817,                0.83203,                0.94425,                0.96685,                0.65764,                 1.1491,                  2.801,                 1.4706,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.1818,                 2.2266,                 1.4778,                0.82989,                 0.9377,                0.98125,                0.67509,                 1.2604,                 2.8878,                 1.5517,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.1338,                 2.0961,                 1.3768,                0.62098,                0.94476,                0.91729,                 0.6221,                 1.2689,                 2.7343,                 1.5004,              0.0008614,              0.0008614,              0.0008614
                     17,                0.99123,                 2.3848,                 1.3117,                0.68824,                0.96843,                0.97278,                0.67292,                 1.1056,                 2.7192,                 1.5074,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.1038,                 2.1864,                 1.4506,                0.88451,                0.97214,                  0.995,                0.69825,                 1.1432,                 2.6985,                  1.576,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.0293,                 1.9707,                 1.3326,                0.95356,                0.81421,                0.98944,                0.71174,                 1.1456,                 2.2533,                 1.5134,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.0009,                 2.3455,                 1.2859,                0.91373,                0.81697,                0.97595,                0.74173,                 1.0428,                 2.3384,                 1.3692,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.0714,                 1.9583,                 1.3843,                0.87554,                0.95305,                0.97595,                0.71359,                 1.0286,                 2.2155,                 1.3772,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.0133,                 2.2605,                 1.2971,                0.85108,                0.91803,                0.97881,                0.72393,                 1.0107,                  2.135,                 1.3618,               0.000802,               0.000802,               0.000802
                     23,                 1.0304,                 1.9618,                 1.3353,                0.82755,                0.89908,                  0.995,                0.74422,                 1.0497,                 2.0289,                 1.4186,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.0727,                 2.1558,                 1.3735,                 0.9164,                0.70717,                  0.995,                0.75943,                 1.0685,                 2.2681,                 1.4252,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.0402,                 1.9761,                 1.3556,                0.78832,                0.91309,                  0.995,                0.75604,                 1.0534,                 2.1101,                 1.4426,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.0502,                 1.9608,                 1.3156,                0.92718,                0.90178,                  0.995,                0.74567,                 1.0008,                 1.9857,                 1.4051,              0.0007624,              0.0007624,              0.0007624
                     27,                  1.045,                 1.8818,                 1.3944,                0.95812,                0.96739,                  0.995,                0.73978,                0.99731,                 1.8669,                 1.3707,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.0015,                 1.8549,                 1.3098,                0.95142,                0.89792,                  0.995,                0.73207,                 1.0479,                  1.909,                 1.4001,              0.0007426,              0.0007426,              0.0007426
                     29,                0.96992,                 1.8913,                  1.258,                0.95768,                0.83333,                  0.995,                0.71623,                 1.0764,                 1.9527,                 1.4393,              0.0007327,              0.0007327,              0.0007327
                     30,                0.98863,                 1.7371,                 1.3106,                 0.7361,                0.98292,                  0.995,                0.72241,                 1.1328,                 1.9823,                  1.494,              0.0007228,              0.0007228,              0.0007228
                     31,                0.94305,                 1.7813,                 1.2619,                0.90954,                      1,                  0.995,                0.74256,                 1.1143,                 1.7194,                 1.4364,              0.0007129,              0.0007129,              0.0007129
                     32,                0.98118,                 1.6016,                 1.2766,                 0.9709,                0.97172,                  0.995,                0.75969,                 1.0984,                 1.6831,                 1.4157,               0.000703,               0.000703,               0.000703
                     33,                0.92841,                 1.6427,                 1.2349,                0.88887,                0.96852,                  0.995,                0.74922,                 1.0671,                 1.7101,                 1.3624,              0.0006931,              0.0006931,              0.0006931
                     34,                0.97798,                 1.6979,                 1.2842,                0.95431,                0.96946,                  0.995,                0.74329,                 1.0347,                 1.5859,                 1.3103,              0.0006832,              0.0006832,              0.0006832
                     35,                0.84954,                 1.6553,                 1.1849,                0.95453,                      1,                  0.995,                0.74188,                 1.0091,                  1.545,                 1.2749,              0.0006733,              0.0006733,              0.0006733
                     36,                0.86629,                 1.7085,                 1.1408,                0.91022,                0.99774,                  0.995,                0.73857,                 1.0031,                 1.5623,                 1.2597,              0.0006634,              0.0006634,              0.0006634
                     37,                0.86659,                 1.4202,                 1.2554,                0.94257,                0.98126,                  0.995,                0.75284,                 1.0219,                 1.6319,                 1.3274,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.0504,                 1.8876,                 1.3569,                 0.9624,                0.98749,                  0.995,                 0.7702,                 1.0449,                 1.5005,                 1.3923,              0.0006436,              0.0006436,              0.0006436
                     39,                0.92933,                 1.4925,                 1.2602,                0.96402,                0.99002,                  0.995,                0.76993,                 1.0567,                 1.4633,                 1.4182,              0.0006337,              0.0006337,              0.0006337
                     40,                0.98465,                 1.5163,                 1.2624,                0.93211,                0.99636,                  0.995,                0.78269,                0.97571,                 1.5193,                 1.3195,              0.0006238,              0.0006238,              0.0006238
                     41,                0.92114,                 1.4475,                 1.2494,                0.96251,                  0.992,                  0.995,                0.79662,                0.94163,                  1.532,                 1.2608,              0.0006139,              0.0006139,              0.0006139
                     42,                0.89072,                 1.4139,                  1.229,                0.97143,                0.98608,                  0.995,                0.78644,                0.94791,                 1.5035,                 1.2711,               0.000604,               0.000604,               0.000604
                     43,                  0.929,                 1.4905,                 1.2571,                 0.9429,                      1,                  0.995,                0.76736,                 1.0017,                 1.4026,                 1.3523,              0.0005941,              0.0005941,              0.0005941
                     44,                0.86414,                 1.4629,                 1.2121,                0.90296,                0.98719,                  0.995,                0.74973,                 1.0522,                 1.4417,                 1.4191,              0.0005842,              0.0005842,              0.0005842
                     45,                0.87859,                  1.479,                 1.2017,                0.96305,                0.94987,                  0.995,                0.73327,                 1.0769,                 1.4443,                 1.4335,              0.0005743,              0.0005743,              0.0005743
                     46,                0.77706,                 1.3285,                 1.1278,                0.96518,                0.99835,                  0.995,                0.77434,                0.98303,                 1.3967,                 1.3206,              0.0005644,              0.0005644,              0.0005644
                     47,                0.80646,                 1.2878,                 1.1417,                0.96398,                0.99747,                  0.995,                0.77255,                0.97029,                 1.4655,                 1.3319,              0.0005545,              0.0005545,              0.0005545
                     48,                 0.8127,                 1.2179,                 1.1728,                 0.9561,                0.99461,                  0.995,                0.76529,                0.99494,                 1.5253,                 1.3677,              0.0005446,              0.0005446,              0.0005446
                     49,                0.84659,                 1.4059,                 1.2098,                0.96377,                0.95931,                  0.995,                0.75682,                 1.0445,                 1.4524,                 1.4163,              0.0005347,              0.0005347,              0.0005347
                     50,                0.90345,                 1.4395,                 1.2295,                0.94198,                 0.9561,                  0.995,                0.75049,                 1.0408,                 1.4218,                 1.4092,              0.0005248,              0.0005248,              0.0005248
                     51,                0.85501,                 1.4169,                  1.243,                0.93992,                0.99591,                  0.995,                0.77209,                0.97873,                 1.3995,                 1.3712,              0.0005149,              0.0005149,              0.0005149
                     52,                0.79534,                 1.3456,                 1.1722,                0.96313,                 0.9992,                  0.995,                0.74293,                 0.9843,                 1.3691,                 1.3856,               0.000505,               0.000505,               0.000505
                     53,                0.87454,                 1.4698,                 1.2471,                0.92767,                0.98127,                  0.995,                0.74815,                 1.0019,                 1.3775,                 1.4171,              0.0004951,              0.0004951,              0.0004951
                     54,                0.81993,                 1.4569,                 1.1968,                0.92159,                0.98715,                  0.995,                0.75768,                0.98195,                 1.3981,                 1.3861,              0.0004852,              0.0004852,              0.0004852
                     55,                 0.8726,                 1.2903,                 1.1851,                0.92597,                0.98938,                  0.995,                0.78227,                 1.0172,                 1.3753,                 1.4163,              0.0004753,              0.0004753,              0.0004753
                     56,                0.73662,                 1.3067,                  1.088,                0.93204,                      1,                  0.995,                0.76427,                  1.019,                 1.3643,                 1.4396,              0.0004654,              0.0004654,              0.0004654
                     57,                0.75141,                 1.2033,                 1.1223,                0.89827,                0.99639,                  0.995,                0.77939,                0.97224,                 1.3349,                 1.4024,              0.0004555,              0.0004555,              0.0004555
                     58,                0.82541,                 1.1398,                 1.1333,                0.92083,                      1,                  0.995,                0.77747,                0.98332,                 1.3499,                 1.3927,              0.0004456,              0.0004456,              0.0004456
                     59,                0.78901,                 1.1502,                 1.1358,                 0.9706,                      1,                  0.995,                0.76917,                 1.0581,                 1.2939,                 1.4564,              0.0004357,              0.0004357,              0.0004357
                     60,                0.76205,                  1.111,                 1.1009,                0.97997,                      1,                  0.995,                0.76203,                 1.0845,                 1.2596,                  1.475,              0.0004258,              0.0004258,              0.0004258
                     61,                0.86369,                 1.2028,                 1.1867,                0.97474,                      1,                  0.995,                0.75224,                 1.0855,                 1.2413,                 1.4444,              0.0004159,              0.0004159,              0.0004159
                     62,                0.78241,                 1.1597,                 1.1479,                0.97631,                      1,                  0.995,                0.76213,                 1.0705,                 1.2233,                 1.4149,               0.000406,               0.000406,               0.000406
                     63,                0.77084,                 1.1564,                 1.1502,                0.95422,                      1,                  0.995,                0.79508,                 1.0153,                  1.238,                 1.3805,              0.0003961,              0.0003961,              0.0003961
                     64,                0.75257,                 1.1107,                  1.154,                0.96192,                      1,                  0.995,                0.79982,                0.98545,                 1.1926,                 1.3629,              0.0003862,              0.0003862,              0.0003862
                     65,                  0.809,                 1.1552,                 1.1809,                0.97861,                      1,                  0.995,                0.78859,                0.95926,                 1.1722,                 1.3491,              0.0003763,              0.0003763,              0.0003763
                     66,                0.85117,                 1.3142,                 1.1876,                0.98127,                      1,                  0.995,                0.78233,                0.96975,                 1.1972,                 1.3563,              0.0003664,              0.0003664,              0.0003664
                     67,                0.79014,                 1.1553,                 1.1848,                  0.978,                      1,                  0.995,                0.79758,                0.98958,                 1.2165,                 1.3765,              0.0003565,              0.0003565,              0.0003565
                     68,                0.72439,                 1.0538,                 1.1289,                 0.9744,                      1,                  0.995,                0.79445,                 1.0178,                 1.2107,                 1.4016,              0.0003466,              0.0003466,              0.0003466
                     69,                0.75433,                 1.1058,                 1.1319,                0.96528,                      1,                  0.995,                0.79281,                0.97645,                 1.1813,                  1.384,              0.0003367,              0.0003367,              0.0003367
                     70,                0.71769,                 1.1703,                 1.0848,                0.96023,                      1,                  0.995,                    0.8,                0.95655,                 1.1721,                 1.3808,              0.0003268,              0.0003268,              0.0003268
                     71,                0.77336,                  1.112,                 1.1225,                 0.9698,                      1,                  0.995,                0.78908,                0.94113,                 1.1708,                 1.3802,              0.0003169,              0.0003169,              0.0003169
                     72,                0.76744,                  1.092,                 1.1206,                0.98184,                      1,                  0.995,                0.78811,                0.95425,                 1.1885,                 1.3938,               0.000307,               0.000307,               0.000307
                     73,                0.70553,                  1.028,                 1.1042,                0.98064,                      1,                  0.995,                0.78425,                0.96073,                 1.1668,                 1.3915,              0.0002971,              0.0002971,              0.0002971
                     74,                0.77651,                 1.1101,                 1.1505,                0.97869,                      1,                  0.995,                 0.7852,                 0.9685,                  1.142,                 1.3882,              0.0002872,              0.0002872,              0.0002872
                     75,                0.69193,                 1.0408,                 1.1004,                0.97855,                      1,                  0.995,                0.77036,                0.97618,                  1.114,                 1.3894,              0.0002773,              0.0002773,              0.0002773
                     76,                0.72168,                 0.9875,                 1.1043,                0.97179,                      1,                  0.995,                 0.7707,                0.99173,                 1.0786,                 1.3976,              0.0002674,              0.0002674,              0.0002674
                     77,                0.72086,                 1.0098,                 1.1284,                0.96717,                      1,                  0.995,                0.77826,                0.98422,                 1.0756,                  1.383,              0.0002575,              0.0002575,              0.0002575
                     78,                0.72155,                 1.0917,                 1.1364,                0.96051,                      1,                  0.995,                 0.7817,                0.97517,                 1.0677,                 1.3786,              0.0002476,              0.0002476,              0.0002476
                     79,                0.68975,                 1.0045,                 1.0969,                 0.9784,                      1,                  0.995,                0.75298,                 1.0213,                 1.0691,                 1.4193,              0.0002377,              0.0002377,              0.0002377
                     80,                0.67298,                0.95742,                 1.0704,                0.97693,                      1,                  0.995,                0.75083,                 1.0278,                 1.0841,                 1.4101,              0.0002278,              0.0002278,              0.0002278
                     81,                0.66759,                 0.9334,                 1.0648,                0.97772,                      1,                  0.995,                0.75309,                 1.0143,                 1.0906,                 1.3832,              0.0002179,              0.0002179,              0.0002179
                     82,                0.72509,                 1.0795,                 1.1139,                0.97679,                      1,                  0.995,                0.77282,                0.96922,                 1.1334,                 1.3286,               0.000208,               0.000208,               0.000208
                     83,                0.66928,                 1.0353,                 1.0418,                0.97932,                      1,                  0.995,                0.77621,                0.95936,                 1.1263,                 1.3076,              0.0001981,              0.0001981,              0.0001981
                     84,                0.70543,                0.91995,                 1.0861,                0.97856,                      1,                  0.995,                0.78105,                0.95053,                 1.1272,                 1.2904,              0.0001882,              0.0001882,              0.0001882
                     85,                 0.6627,                0.97461,                 1.0634,                0.97869,                      1,                  0.995,                0.75894,                0.94943,                 1.1158,                 1.2833,              0.0001783,              0.0001783,              0.0001783
                     86,                0.68162,                 1.0284,                 1.0628,                0.97729,                      1,                  0.995,                0.78183,                0.95171,                 1.0885,                 1.2837,              0.0001684,              0.0001684,              0.0001684
                     87,                0.62641,                0.94164,                 1.0576,                0.97771,                      1,                  0.995,                0.78025,                0.95506,                 1.0846,                 1.2926,              0.0001585,              0.0001585,              0.0001585
                     88,                0.67742,                0.97506,                  1.116,                0.97757,                      1,                  0.995,                0.77675,                0.95996,                 1.0808,                 1.3102,              0.0001486,              0.0001486,              0.0001486
                     89,                0.66467,                 0.9649,                 1.0897,                0.98188,                      1,                  0.995,                0.78456,                0.98223,                 1.0398,                 1.3513,              0.0001387,              0.0001387,              0.0001387
                     90,                0.62408,                0.87855,                 1.0321,                0.97964,                      1,                  0.995,                0.76809,                0.99258,                 1.0353,                 1.3712,              0.0001288,              0.0001288,              0.0001288
                     91,                0.53784,                0.95278,                 1.0032,                0.97753,                      1,                  0.995,                0.77213,                 0.9891,                 1.0467,                 1.3741,              0.0001189,              0.0001189,              0.0001189
                     92,                0.53374,                 1.0113,                 1.0364,                0.97062,                      1,                  0.995,                0.77407,                 0.9705,                 1.0707,                 1.3607,               0.000109,               0.000109,               0.000109
                     93,                0.52447,                0.94339,                0.98044,                0.97109,                      1,                  0.995,                0.77741,                0.96782,                 1.0766,                 1.3613,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.48454,                0.97801,                0.97767,                0.97233,                      1,                  0.995,                0.77704,                0.96446,                 1.0859,                 1.3615,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.50435,                0.96577,                0.97053,                0.97775,                      1,                  0.995,                0.77427,                0.96219,                 1.0834,                 1.3655,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.52656,                  0.933,                0.98627,                0.97715,                      1,                  0.995,                0.77427,                0.96438,                 1.0697,                 1.3685,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.51407,                0.96812,                0.96754,                0.97747,                      1,                  0.995,                0.77976,                0.96142,                 1.0671,                 1.3605,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                0.50331,                 1.0045,                 0.9826,                0.97613,                      1,                  0.995,                0.78108,                0.95516,                 1.0619,                 1.3481,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.50258,                 0.9428,                0.96859,                0.98026,                      1,                  0.995,                0.78108,                0.95637,                 1.0519,                  1.345,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.48931,                0.96102,                0.98105,                0.98091,                      1,                  0.995,                  0.793,                0.95451,                 1.0469,                 1.3417,               2.98e-05,               2.98e-05,               2.98e-05
